,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,0.4,-12.9,-6.3
1,2016-01-02,2016,1,2,-1.1,-15.2,-8.2
2,2016-01-03,2016,1,3,-1.8,-16.6,-9.2
3,2016-01-04,2016,1,4,-1.7,-13.1,-7.4
4,2016-01-05,2016,1,5,-7.3,-15.3,-11.3
5,2016-01-06,2016,1,6,-9.1,-17.4,-13.3
6,2016-01-07,2016,1,7,-9.9,-16.7,-13.3
7,2016-01-08,2016,1,8,-13.4,-23.1,-18.3
8,2016-01-09,2016,1,9,-10.5,-26.0,-18.3
9,2016-01-10,2016,1,10,-1.2,-16.8,-9.0
10,2016-01-11,2016,1,11,-1.8,-9.7,-5.8
11,2016-01-12,2016,1,12,5.2,-10.6,-2.7
12,2016-01-13,2016,1,13,7.7,-5.2,1.3
13,2016-01-14,2016,1,14,0.9,-4.0,-1.6
14,2016-01-15,2016,1,15,-3.8,-13.2,-8.5
15,2016-01-16,2016,1,16,-13.2,-18.0,-15.6
16,2016-01-17,2016,1,17,-12.7,-18.3,-15.5
17,2016-01-18,2016,1,18,5.3,-12.7,-3.7
18,2016-01-19,2016,1,19,5.0,-11.2,-3.1
19,2016-01-20,2016,1,20,-5.9,-12.4,-9.2
20,2016-01-21,2016,1,21,1.0,-12.7,-5.9
21,2016-01-22,2016,1,22,8.0,-4.7,1.7
22,2016-01-23,2016,1,23,5.0,-6.8,-0.9
23,2016-01-24,2016,1,24,-0.3,-12.2,-6.3
24,2016-01-25,2016,1,25,1.8,-15.4,-6.8
25,2016-01-26,2016,1,26,9.4,-7.6,0.9
26,2016-01-27,2016,1,27,9.6,0.3,5.0
27,2016-01-28,2016,1,28,10.7,0.1,5.4
28,2016-01-29,2016,1,29,5.2,-2.8,1.2
29,2016-01-30,2016,1,30,2.6,-3.0,-0.2
30,2016-01-31,2016,1,31,1.2,-4.1,-1.5
31,2016-02-01,2016,2,1,-0.9,-6.3,-3.6
32,2016-02-02,2016,2,2,-1.4,-10.0,-5.7
33,2016-02-03,2016,2,3,-1.0,-12.6,-6.8
34,2016-02-04,2016,2,4,4.7,-5.0,-0.2
35,2016-02-05,2016,2,5,9.4,0.2,4.8
36,2016-02-06,2016,2,6,6.4,-1.4,2.5
37,2016-02-07,2016,2,7,4.4,-4.4,0.0
38,2016-02-08,2016,2,8,13.1,-6.5,3.3
39,2016-02-09,2016,2,9,15.5,-1.7,6.9
40,2016-02-10,2016,2,10,4.7,-2.2,1.3
41,2016-02-11,2016,2,11,6.6,-3.6,1.5
42,2016-02-12,2016,2,12,1.4,-4.5,-1.6
43,2016-02-13,2016,2,13,7.3,-4.9,1.2
44,2016-02-14,2016,2,14,9.1,-1.9,3.6
45,2016-02-15,2016,2,15,8.4,-2.4,3.0
46,2016-02-16,2016,2,16,10.3,-5.4,2.5
47,2016-02-17,2016,2,17,5.6,-4.3,0.7
48,2016-02-18,2016,2,18,9.8,-3.3,3.3
49,2016-02-19,2016,2,19,6.2,-0.2,3.0
50,2016-02-20,2016,2,20,2.6,-7.7,-2.6
51,2016-02-21,2016,2,21,5.3,-5.5,-0.1
52,2016-02-22,2016,2,22,6.5,-7.3,-0.4
53,2016-02-23,2016,2,23,4.3,-6.1,-0.9
54,2016-02-24,2016,2,24,3.9,-11.0,-3.6
55,2016-02-25,2016,2,25,11.6,-6.2,2.7
56,2016-02-26,2016,2,26,16.6,-1.5,7.6
57,2016-02-27,2016,2,27,11.5,-2.3,4.6
58,2016-02-28,2016,2,28,6.4,-5.5,0.5
59,2016-02-29,2016,2,29,2.2,-11.5,-4.7
60,2016-03-01,2016,3,1,5.8,-6.9,-0.6
61,2016-03-02,2016,3,2,1.6,-4.1,-1.3
62,2016-03-03,2016,3,3,12.3,-4.3,4.0
63,2016-03-04,2016,3,4,12.8,-5.2,3.8
64,2016-03-05,2016,3,5,16.8,-3.7,6.6
65,2016-03-06,2016,3,6,9.8,-1.9,4.0
66,2016-03-07,2016,3,7,11.5,-3.7,3.9
67,2016-03-08,2016,3,8,9.1,-4.0,2.6
68,2016-03-09,2016,3,9,9.4,-7.5,1.0
69,2016-03-10,2016,3,10,15.8,-2.8,6.5
70,2016-03-11,2016,3,11,12.3,-1.7,5.3
71,2016-03-12,2016,3,12,15.0,-1.2,6.9
72,2016-03-13,2016,3,13,9.6,-1.5,4.1
73,2016-03-14,2016,3,14,6.5,-5.4,0.6
74,2016-03-15,2016,3,15,5.7,-5.8,-0.1
75,2016-03-16,2016,3,16,7.1,-2.2,2.5
76,2016-03-17,2016,3,17,1.5,-4.6,-1.6
77,2016-03-18,2016,3,18,3.5,-9.6,-3.1
78,2016-03-19,2016,3,19,12.7,-9.5,1.6
79,2016-03-20,2016,3,20,13.7,-4.6,4.6
80,2016-03-21,2016,3,21,4.1,-2.3,0.9
81,2016-03-22,2016,3,22,3.7,-5.9,-1.1
82,2016-03-23,2016,3,23,10.7,-7.0,1.9
83,2016-03-24,2016,3,24,8.3,-1.2,3.6
84,2016-03-25,2016,3,25,7.2,-2.4,2.4
85,2016-03-26,2016,3,26,10.1,-4.0,3.1
86,2016-03-27,2016,3,27,9.9,-5.1,2.4
87,2016-03-28,2016,3,28,10.3,1.0,5.7
